name,price,rating,store,image
VIVO V20 2021 8/128GB GARANSI RESMI,Rp3.439.000,not yet rated,Radja Hape,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/7/d53a7037-5c6e-469f-be32-0cb4011210d0.jpg.webp?ect=4g
Samsung S20 Plus - garansi resmi SEIN,Rp8.600.000,4.9,Ratucell88,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/18/695e83f0-6ba6-46d9-8b61-0ee423e48503.jpg.webp?ect=4g
iPhone 12 Pro 128GB 256GB 512GB Dual Nano Sim Garansi Resmi (IBOX),Rp15.250.000,5.0,Digital Authorized,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/1/f8c7821f-e33e-4f16-9667-e872ee9acdfe.jpg.webp?ect=4g
Advan G9 Pro 6/64 Gb Garansi resmi,Rp1.315.000,not yet rated,RPM Mobile,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/21/590e8e93-d49a-49e4-90d0-dd92629888dc.jpg.webp?ect=4g
REALME NARZO 50i 4/64GB GARANSI RESMI REALME,Rp1.599.000,not yet rated,GadgetIDN,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/3/be749170-5306-4182-b733-36fa058b4d4b.png.webp?ect=4g
iBox iPhone 13 Pro ProMax 5G 256GB Dual Nano 256 Max Blue not Mini 12,Rp21.050.000,5.0,Studio Ponsel,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/5/2c9c347f-6125-454e-a88e-95d7b5625b92.jpg.webp?ect=4g
Oppo A3S ram 3 32 GB,Rp1.150.000,4.5,Lucky Phonee,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/4/448d828d-4352-458a-871d-203adb6043cb.jpg.webp?ect=4g
Samsung Galaxy Z Flip 3 5G [8GB/128 - 8/256GB] - Garansi Resmi SEIN,Rp14.549.000,5.0,Wahana Selular,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/20/7fb58d0c-55c9-43c1-adcb-74ede55d3efe.jpg.webp?ect=4g
XIAOMI REDMI 9 RAM 4 64 RAM 3 32 GRS RESMI,Rp1.899.000,4.9,ALFASTORE-,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/5/9994c671-2c42-4f68-bcdf-e3d4f7dfa0d5.jpg.webp?ect=4g
IPhone 12 Pro Garansi Resmi Ibox,Rp17.949.000,5.0,PT Pratama Sntra Semesta,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/2/36af7094-eb70-4be9-a55a-6b656ff1e5b2.png.webp?ect=4g
Samsung Galaxy A22 6/128 GB Garasi Resmi SEIN,Rp2.819.000,5.0,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/6/d13df955-8cb4-46df-aac8-776f99451d9b.jpg.webp?ect=4g
Xiaomi Redmi Note 10S 8/128 - Garansi Resmi,Rp3.077.000,4.9,jikalaku,https://images.tokopedia.net/img/cache/200-square/product-1/2021/5/24/10915281/10915281_52e2348d-8b33-400a-9b43-2dc321dd5359.jpeg.webp?ect=4g
Infinix Itel Vision 1 Pro 3/32 Ram 3GB Internal 32GB Garansi Resmi,Rp1.020.000,4.9,dk-cell,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/8/3629d82c-3bb2-4820-9c30-83f1758b69a5.jpg.webp?ect=4g
Xiaomi Redmi 10 4/64 Gb Helio G88 Camera 50Mp 5000Mah Garansi Resmi,Rp2.097.000,5.0,inoe87,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/29/1abd2b9b-7a0f-44c7-83ee-e143433af065.jpg.webp?ect=4g
"XIAOMI REDMI 9A 3/32 GB , REDMI 9A 2/32 GB 100% ORI GARANSI RESMI",Rp1.295.000,5.0,STR-STORE,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/23/235359ff-3ad3-4c18-9571-be29ae1752f9.png.webp?ect=4g
ADVAN G9 PRO 6/64 RAM 6GB ROM 64GB GARANSI RESMI 1 TAHUN,Rp1.320.000,4.9,enterphone2,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/20/0b1e4870-a559-4499-bcb4-52249696999e.jpg.webp?ect=4g
Realme 8 8GB+128GB Garansi Resmi Realme Indonesia,Rp3.259.000,5.0,36shop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/26/a7a07a72-2fdc-45cd-b7ac-63b2cd1527bc.jpg.webp?ect=4g
iPhone 13 Pro Max 128GB 256GB 512GB 1TB ProMax 13 Dual Sim Nano IBOX,Rp21.060.000,5.0,Digital Authorized,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/15/b5c8f829-6017-4ac0-ad10-813364196cf8.jpg.webp?ect=4g
REALME NARZO 50A 50 A 4/128GB 4/64GB GARANSI RESMI,Rp2.099.000,not yet rated,GadgetIDN,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/3/7e6080c2-2104-409c-8e05-34b63f292fcd.jpg.webp?ect=4g
iPhone XS 64GB/256GB SECOND LIKE NEW 99% MULUS FULLSET - GARANSI,Rp5.155.000,5.0,Wish Phonestore,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/5/df45ea2c-bf72-4b26-b5dc-60e2d2b092ab.png.webp?ect=4g
Vivo Y33s 8/128GB (RAM 8GB+4GB Extended) Garansi Resmi,Rp2.999.000,5.0,duniagadgetku,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/15/37f569a1-bc85-4ddc-aafa-282c08eac8f0.jpg.webp?ect=4g
iBox iPhone 13 Mini 512GB Dual 256GB 128GB Purple White Black Blue 12,Rp14.500.000,5.0,Studio Ponsel,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/5/7370ea86-9697-43e5-87f8-ff87172ba68a.jpg.webp?ect=4g
